Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University  ,School ,Pos_Rank,Reg_Rank,State_Rank, Pos, City, State, Height, Weight, Stars, Grade, University
Alex Cooper,DE,Houston,TX,6'4'',240,Houston,,238,,,2011,Houston,, NR, NR,,,,,,,,,,,,,
DeVonte Portier,CB,Houston,TX,5'10'',180,Houston,,128,,,2011,Houston,, NR, NR,,,,,,,,,,,,,
Chevy Bennett,CB,Sachse,TX,6'1'',185,Houston,,,,,2011,Houston,,,,,,,,,,,,,,,,
D.J. Hayden,CB,Houston,TX,5'11'',180,Houston,,,,,2011,Houston,, None, None,,,,,,,,,,,,,
Everett Daniels,OLB,Sachse,TX,6'0'',220,Houston,,NR,,,2011,Houston,, NR, NR,,,,,,,,,,,,,
Dominic Smith,DT,Houston,TX,6'3'',310,Houston,,,,,2011,Houston,, NR, None,,,,,,,,,,,,,
Lloyd Allen,DE,Baton Rouge,LA,6'4'',240,Houston,,NR,,,2011,Houston,,,,,,,,,,,,,,,,
DeWayne Peace,WR,Grand Prairie,TX,6'0'',190,Houston,,NR,,,2011,Houston,, NR, NR,,,,,,,,,,,,,
Josh McNeill,OT,Magnolia,TX,6'6'',285,Houston,,,,,2011,Houston,, None, None,,,,,,,,,,,,,
Deontay Greenberry,WR,Fresno,CA,6'2'',185.0,Houston,,17,,,2012,Houston,80,16,12,,,,,,,,,,,,,
Donald Hopkins,DT,Lago Vista,TX,6'2'',275.0,Houston,,19,,,2012,Houston,80,40,28,,,,,,,,,,,,,
Mac Long,OT,Edna,TX,6'4'',270.0,Houston,,,,,2012,Houston,79,,,,,,,,,,,,,,,
Bryan Singleton,DE,Destrehan,LA,6'3'',245.0,Houston,,75,,,2012,Houston,78,285,21,,,,,,,,,,,,,
Tomme Mark,DT,Lufkin,TX,6'1'',260.0,Houston,,,,,2012,Houston,76, None, None,,,,,,,,,,,,,
Trevon Stewart,ATH,Patterson,LA,5'9'',190.0,Houston,,113,,,2012,Houston,75,507,41,,,,,,,,,,,,,
Larry McDuffey,RB,Galena Park,TX,5'11'',165.0,Houston,,,,,2012,Houston,75, None, None,,,,,,,,,,,,,
Jacob Abels,OT,Sugar Land,TX,6'5'',295.0,Houston,,136,,,2012,Houston,75,256,202,,,,,,,,,,,,,
Thaddeus LaGrone,S,Allen,TX,6'2'',198.0,Houston,,,,,2012,Houston,74, None, None,,,,,,,,,,,,,
