Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Dontae Manning,CB,Raytown,MO,6'0'',185,86,Oregon,,24th,,,2020,Oregon,,
Noah Sewell,ILB,Orem,UT,6'2'',245,86,Oregon,,27th,,,2020,Oregon,7,1
Luke Hill,CB,Baltimore,MD,5'11'',173,83,Oregon,,12,,,2020,Oregon,,
Robby Ashford,QB-PP,Birmingham,AL,6'3'',210,83,Oregon,,8,,,2020,Oregon,73,8
Jay Butterfield,QB-PP,Brentwood,CA,6'6'',182,82,Oregon,,11,,,2020,Oregon,29,16
Jayson Jones,OT,Calera,AL,6'5'',320,82,Oregon,,23,,,2020,Oregon,90,9
Jaden Navarrette,ATH,Norco,CA,6'3'',204,81,Oregon,,17,,,2020,Oregon,,
Bennett Williams,S,JC,Mountain View,CA,6'0'',195,80,Oregon,13th,,,2020,Oregon,,
Jonathan Denis,OG,Homestead,FL,6'3'',280,80,Oregon,,16,,,2020,Oregon,,
Kris Hutson,ATH,Bellflower,CA,5'11'',175,80,Oregon,,36,,,2020,Oregon,63,37
Trey Benson,RB,Greenville,MS,6'0'',210,79,Oregon,,36,,,2020,Oregon,,
Jaylan Jeffers,OT,Scottsdale,AZ,6'6'',260,79,Oregon,,54,,,2020,Oregon,75,11
Faaope Laloulu,OG,Kaneohe,HI,6'6'',350,79,Oregon,,30,,,2020,Oregon,,
Jared Greenfield,S,Harbor City,CA,5'11'',180,79,Oregon,,30,,,2020,Oregon,81,48
Bradyn Swinson,DE,Douglasville,GA,6'3'',230,78,Oregon,,49,,,2020,Oregon,,
Jake Shipley,DE,Indio,CA,6'4'',245,78,Oregon,,52,,,2020,Oregon,87,52
T.J. Bass,OG,JC,Oroville,CA,6'5'',305,78,Oregon,3,,,2020,Oregon, None,50
Jackson Laduke,OLB,Sparks,NV,6'3'',210,77,Oregon,,50,,,2020,Oregon,,
Maceai Afaese,DE,Kapolei,HI,6'5'',260,77,Oregon,,61,,,2020,Oregon,,
Jaylen Smith,DT,Ahoskie,NC,6'4'',270,77,Oregon,,46,,,2020,Oregon,,
Marcus Harper,OG,Chicago,IL,6'4'',290,77,Oregon,,41,,,2020,Oregon,67,12
Devon Williams,WR,TR,Lancaster,CA,6'5'',205,,Oregon,,,,2020,Oregon, None, None
Avante Dickerson,CB,Omaha,NE,6'0'',170,86,Oregon,,2,7,1,2021,Oregon,,
Isaiah Brevard,WR,Southaven,MS,6'3'',195,86,Oregon,,59,,,2021,Oregon,,
Ty Thompson,QB-PP,Gilbert,AZ,6'4'',200,86,Oregon,,15,,,2021,Oregon,,
Troy Franklin,WR,Atherton,CA,6'1'',175,86,Oregon,,9,,,2021,Oregon,,
Dont'e Thornton,WR,Baltimore,MD,6'5'',185,85,Oregon,,11,,,2021,Oregon,,
Kingsley Suamataia,OT,East Orem,UT,6'5'',290,84,Oregon,,15,,,2021,Oregon,,
Bram Walden,OT,Scottsdale,AZ,6'4'',275,84,Oregon,,8,,,2021,Oregon,,
Seven McGee,RB,Harbor City,CA,5'9'',180,84,Oregon,,,,,2021,Oregon,,
Jonathan Flowe,OLB,Upland,CA,6'2'',210,84,Oregon,,10,26,14,2021,Oregon,,
Jaylin Davies,CB,Santa Ana,CA,5'11'',170,83,Oregon,,10,29,16,2021,Oregon,,
Byron Cardwell,RB,San Diego,CA,6'0'',195,83,Oregon,,2,,,2021,Oregon,,
Jackson Light,OC,Draper,UT,6'3'',275,83,Oregon,,13,30,12,2021,Oregon,,
Daymon David,S,Reisterstown,MD,6'1'',180,82,Oregon,,8,,,2021,Oregon,,
Keith Brown,ILB,Lebanon,OR,6'1'',220,82,Oregon,,24,,,2021,Oregon,,
Jonah Miller,OT,Tucson,AZ,6'7'',285,81,Oregon,,4,45,2,2021,Oregon,,
Moliki Matavao,TE-Y,Henderson,NV,6'6'',240,81,Oregon,,22,,,2021,Oregon,,
Keanu Williams,DT,Clovis,CA,6'4'',285,80,Oregon,,8,,,2021,Oregon,,
Terrance Ferguson,TE-Y,Littleton,CO,6'5'',220,80,Oregon,,40,,,2021,Oregon,,
Jeffrey Bassa,ATH,Kearns,UT,6'2'',200,79,Oregon,,137,71,105,2021,Oregon,,
Terrell Tilmon,DE,Arlington,TX,6'4'',200,78,Oregon,,57,281,36,2021,Oregon,,
Jabril McNeill,OLB,Raleigh,NC,6'3'',225,78,Oregon,,64,105,12,2021,Oregon,,
