Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School  
J-Shun Harris,WR,Fishers,IN,5'8'',162.0,Indiana ,,197,204,16,2014,Indiana,,,73,
Coray Keel,WR,Snellville,GA,6'3'',185.0,Indiana ,,203,,,2014,Indiana,,,73,
Jordan Fuchs,TE,Middle Village,NY,6'6'',220.0,Indiana ,,,,,2014,Indiana,,,73,
Zeke Walker,S,Cayce,SC,6'2'',205.0,Indiana ,,126,679,35,2014,Indiana,,,72,
Waynedriko Smith,ATH,Orlando,FL,5'11'',165.0,Indiana ,,182,720,263,2014,Indiana,,,71,
Alexander Diamont,QB-PPLos,Angeles,CA,6'2'',175.0,Indiana ,,72,,,2014,Indiana,,,71,
DeAndre Herron,OG (JC),Avon,IN,6'5'',320.0,Indiana ,,12,,,2014,Indiana,,,70,
Christopher Covington,S,Chicago,IL,6'2'',203.0,Indiana ,,,,,2014,Indiana,,,0,
Robert McCray IIIILB,Conyers,GA,Rockdale County High School6'2'',241,,,,,,,2014,Indiana,,,Indiana ,
Kiante Walton,CB,Columbus,GA,Carver High School5'10'',192.0,Indiana ,,,,,2014,Indiana,,,,
Derrian Meminger,DT,Sparta,GA,Hancock Central High School6'4'',270.0,Indiana,,,,,2014,Indiana,,,,
Jonathan King,DE,Tampa,FL,6'2'',240,80,Indiana,39,175,70,2018,Indiana,,,,
Ronnie Walker,RB,Hopewell,VA,5'10'',190,80,Indiana,23,43,6,2018,Indiana,,,,
Aidan Rafferty,OT,Washington,DC,6'6'',286,78,Indiana,55,,,2018,Indiana,,,,
James Head,DE,Miami,FL,6'3'',220,77,Indiana,81,365,137,2018,Indiana,,,,
Madison Norris,DE,Fishers,IN,6'4'',186,77,Indiana,84,68,4,2018,Indiana,,,,
Reese Taylor,ATH,Indianapolis,IN,5'10'',171,77,Indiana,5,,,2018,Indiana,,,,
Nick Marozas,OT,Chicago,IL,6'4'',272,77,Indiana,80,82,15,2018,Indiana,,,,
Jacolby Hewitt,WR,Cordova,TN,6'1'',208,77,Indiana,168,,,2018,Indiana,,,,
James Miller,ILB,Seffner,FL,6'1'',220,76,Indiana,27,413,150,2018,Indiana,,,,
Charles Campbell,K,Jackson,TN,5'8'',180,76,Indiana,12,,,2018,Indiana,,,,
Matt Bjorson,TE,Hinsdale,IL,6'2'',208,76,Indiana,22,,,2018,Indiana,,,,
Devon Matthews,CB,Jacksonville,FL,6'1'',185,76,Indiana,462,,,2018,Indiana,,,,
Noah Pierre,CB,Miami,FL,5'11'',185,75,Indiana,489,90,183,2018,Indiana,,,,
Gavin McCabe,DE,Chicago,IL,6'3'',249,75,Indiana,104,,,2018,Indiana,,,,
Miles Marshall,WR,Lilburn,GA,6'3'',200,75,Indiana,186,494,106,2018,Indiana,,,,
Kristian Pechac,RB,Bloomington,IN,6'1'',205,75,Indiana,65,115,12,2018,Indiana,,,,
Aaron Casey,OLB,Douglasville,GA,6'1'',205,75,Indiana,78,545,119,2018,Indiana,,,,
T.J. Ivy,TE,Chicago,IL,6'4'',217,74,Indiana,35,,,2018,Indiana,,,,
Shamar Jones,DT,Johnsontown,PA,6'1'',264,74,Indiana,98,,,2018,Indiana,,,,
Jamar Johnson,CB,Sarasota,FL,6'1'',180,74,Indiana,106,561,216,2018,Indiana,,,,
Elijah Rodgers,CB,Blacksburg,SC,6'0'',160,73,Indiana,122,643,33,2018,Indiana,,,,
Micah McFadden,OLB,Tampa,FL,6'1'',215,73,Indiana,,,,2018,Indiana,,,,
Jaylin Williams,CB,Germantown,TN,5'10'',166,73,Indiana,127,657,38,2018,Indiana,,,,
Stevie Scott,RB,Albany,NY,6'1'',240,72,Indiana,102,,,2018,Indiana,,,,
Cam Jones,ATH,Cordova,TN,6'1'',205,72,Indiana,117,677,39,2018,Indiana,,,,
Jordan Jusevitch,S,Lowell,IN,6'0'',200,72,Indiana,171,,,2018,Indiana,,,,
Sampson James,RB, Avon, IN,6'0'',200,82,Indiana,15,16,3,2019,Indiana,,,2,
Beau Robbins,DE, Carmel, IN,6'4'',240,81,Indiana,25,17,4,2019,Indiana,,,1,
Joshua Sanguinetti, Fort Lauderdale, FL,NSU University School,6'0'',173,80,Indiana,25,161,48,2019,Indiana,,,3,
