Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Zack Wynn,QB,Tampa,FL,6'2'',190,,,,,,,2010,Western Michigan,,,
John Henry,CB,Kentwood,MI,5'11'',182,,,,NR,NR,NR,2010,Western Michigan,,,
Brandon Gannon,DT,Halethorp,MD,6'2'',273,,,,,,,2010,Western Michigan,,,
Marcus Cann,OT,Bamberg,SC,6'5'',305,,,,NR,NR,NR,2010,Western Michigan,,,
John Rice,DT,Starkville,MS,6'1'',280,,,,,,,2010,Western Michigan,,,
Dex Jones,OLB,Lombard,IL,6'10'',215,,,,,,,2010,Western Michigan,,,
Jaime Wilson,WR,Belle Glade,FL,5'11'',185,77,Western Michigan,,,,,2012,Western Michigan,, None, None
David Reed,S,Miami Beach,FL,5'11'',195,76,Western Michigan,,,,,2012,Western Michigan,, None, None
Mikhail Dubose,DE,Chicago,IL,6'2'',245,75,Western Michigan,,164,,,2012,Western Michigan,,,
Roosevelt Donaldson,DE,Miami,FL,6'2'',255,75,Western Michigan,,175,,,2012,Western Michigan,,612,216
A.J. King,WR,Seffner,FL,5'10'',159,75,Western Michigan,,,,,2012,Western Michigan,,,
Anthony Maddie,QB,Aurora,IL,6'2'',186,74,Western Michigan,,114,,,2012,Western Michigan,,,
Nicholas Roach,OT,Chicago,IL,6'4'',295,74,Western Michigan,,155,,,2012,Western Michigan,,241,39
Jonathan Harden,DT,Saint Paul,MN,5'10'',305,73,Western Michigan,,146,,,2012,Western Michigan,,,
Laderick Black,CB,Pensacola,FL,5'11'',170,71,Western Michigan,,147,,,2012,Western Michigan,,912,328
Ben Davisson,OT,Rensselaer,IN,6'9'',290,70,Western Michigan,,,,,2012,Western Michigan,, None, None
Michael Henry Jr.,WR,Flint,MI,5'10'',160,68,Western Michigan,,362,,,2012,Western Michigan,, None,73
Gabe Hantsbarger,WR,Pompano Beach,FL,6'4'',200,68,Western Michigan,,,,,2012,Western Michigan,,,
Daniel Braverman,WR,Plantation,FL,5'10'',170,68,Western Michigan,,273,,,2012,Western Michigan,,,
Zach Terrell,QB,Fort Wayne,IN,6'2'',200,67,Western Michigan,,198,,,2012,Western Michigan,,,
Taylor Moton,OT,Okemos,MI,6'5'',270,NR,Western Michigan,,NR,,,2012,Western Michigan,, NR, NR
Andrew Aurand,OG,Troy,MI,6'3'',270,NR,Western Michigan,,,,,2012,Western Michigan,,,
Justin Motley,S,Virginia Beach,VA,5'11'',173,NR,Western Michigan,,,,,2012,Western Michigan,,,
