Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank
Martin Weisz,OT,North Palm Beach,FL,6'5'',300,74,Washington,,109,,,2018,Virginia,,
T.C. Harrison,OLB,Suwanee,GA,6'3'',199,74,Penn State,,592,,,2018,Virginia,,
Micah Mariteragi,OG,Kahuku,HI,6'4'',265,72,Hawaii,,106,,,2018,Virginia,,
Billy Kemp,WR,Highland Springs,VA,5'9'',170,72,Virginia,,217,173,28,2018,Virginia,,
Derek Devine,OT,Wexford,PA,6'5'',270,72,Notre Dame,,124,,,2018,Virginia,,
Aaron Faumui,DT,Kapolei,HI,6'2'',285,-,Washington,,,,,2018,Virginia,,
Marcus Applefield,OT,Rutgers, NJ,6'5'',308,Not Assigned,Minnesota,,, None, None,2018,Virginia,,
Jowon Briggs,DT,Cincinnati,OH,6'2'',290,4,84,Virginia,9,7,2,2019,Virginia,,
Seneca Milledge,ATH,Fort Myers,FL,5'6'',155,3,79,Virginia,,236,73,2019,Virginia,,
Ben Smiley,DT,Chesapeake,VA,6'4'',268,3,79,Virginia,40,62,14,2019,Virginia,,
Nick Jackson,OLB,Atlanta,GA,6'2'',222,3,78,Virginia,46,285,68,2019,Virginia,,
Dontayvion Wicks,WR,Plaquemine,LA,6'2'',180,3,78,Virginia,301,,,2019,Virginia,,
Nathaniel Beal III,WR,Houston,TX,6'5'',198,3,78,Virginia,83,,,2019,Virginia,,
Fentrell Cypress II,CB,Rock Hill,SC,6'0'',171,3,78,Virginia,59,,,2019,Virginia,,
D'Sean Perry,DE,Miami,FL,6'3'',223,3,77,Virginia,47,375,124,2019,Virginia,,
Zachary Teter,OG,Lakeland,FL,6'4'',290,3,77,Virginia,404,,,2019,Virginia,,
Antonio Clary,ATH,Jacksonville,FL,6'0'',195,3,77,Virginia,94,89,14,2019,Virginia,,
Jaquay Hubbard,OT,Sharpsville,PA,6'5'',325,3,77,Virginia,50,,,2019,Virginia,,
Kariem Al Soufi,OG,Germany,,6'3'',330,3,77,Virginia,81,106,22,2019,Virginia,,
Josh Ahern,OLB,Burke,VA,6'3'',217,3,76,Virginia,32,476,32,2019,Virginia,,
Mike Hollins,RB,Baton Rouge,LA,5'10'',200,3,76,Virginia,107,,,2019,Virginia,,
Robert Harvey,ATH,Orlando,FL,5'8'',180,3,76,Virginia,97,,,2019,Virginia,,
Hunter Stewart,OLB,Washington,DC,6'2'',215,3,76,Virginia,35,8,5,2019,Virginia,,
Luke Wentz,QB,Germany,,6'3'',190,3,75,Virginia,135,513,,2019,Virginia,,
Dorien Goddard,WR,Greeneville,TN,6'3'',210,3,75,Virginia,124,,,2019,Virginia,,
Jonathon Leech,OT,Hoschton,GA,6'4'',266,3,74,Virginia,122,,,2019,Virginia,,
Major Williams,CB,Fort Myers,FL,6'0'',170,3,74,Virginia,145,174,11,2019,Virginia,,
Tenyeh Dixon,CB,Washington,DC,5'10'',185,3,73,Virginia,182,230,14,2019,Virginia,,
Jairus Satiu,WR,Lehi,UT,6'2'',185,3,73,Virginia,120,188,34,2019,Virginia,,
Chayce Chalmers,S,Quicksburg,VA,6'1'',205,3,72,Virginia,,,,2019,Virginia,,
Alex Gellerstedt,OT,Dublin,OH,6'6'',311,3,TR,Virginia,,,,2019,Virginia,,
Andrew Gentry,OT,Littleton,CO,6'8'',310,84,, Virginia,12,20,1,2020,Virginia,,
Brandon Williams,OLB,New Orleans,LA,6'1'',210,80,, Virginia,27,,,2020,Virginia,,
Jonathan Horton,DE,Baton Rouge,LA,6'5'',215,80,, Virginia,36,179,17,2020,Virginia,,
Elijah Gaines,S,Alexandria,VA,6'3'',200,78,, Virginia,32,,,2020,Virginia,,
Donovan Johnson,S,Harvey,LA,6'2'',180,77,, Virginia,41,,,2020,Virginia,,
Joshua Rawlings,TE,Pittsburgh,PA,6'5'',230,77,, Virginia,17,100,8,2020,Virginia,,
Lavel Davis,WR,Dorchester,SC,6'5'',195,76,, Virginia,130,,,2020,Virginia,,
Olasunkonmi Agunloye,DE,Lindenhurst,NY,6'6'',240,76,, Virginia,105, None,5,2020,Virginia,,
Jahmeer Carter,DT,Severn,MD,6'2'',290,76,, Virginia,70,121,29,2020,Virginia,,
Sam Brady,WR,Lincolnton,NC,6'4'',200,75,, Virginia,187,,,2020,Virginia,,
Nusi Malani,DE,San Mateo,CA,6'6'',250,74,, Virginia,129,186,102,2020,Virginia,,
Jestus Johnson,OG,Washington,DC,6'3'',300,74,, Virginia,88,,,2020,Virginia,,
Dave Herard,CB,Fort Lauderdale,FL,6'0'',165,74,, Virginia,110,,,2020,Virginia,,
