Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School,University  , State_rank 
Dylan Parham,QB,Raleigh,NC,6'5'',205,NC State,,23,,,2016,North Carolina State,230,17,79,,,
Isaiah Stallings,SE,Fayetteville,NC,6'4'',204,NC State,,35,,,2016,North Carolina State,238,19,79,,,
Shug Frazier,DT,Buford,GA,6'3'',320,NC State,,41,,,2016,North Carolina State,244,46,79,,,
Bryce Dixon,WR,Morrisville,NC,6'3'',218,NC State,,102,,,2016,North Carolina State,286,27,78,,,
Kelvin Harmon,ATH,Palmyra,NJ,6'3'',195,NC State,,,,,2016,North Carolina State, None, None,77,,,
Justin Witt,OT,New Lenox,IL,6'6'',263,NC State,,60,,,2016,North Carolina State,81,15,76,,,
James Valdez,CB,Orangeburg,SC,6'0'',175,NC State,,,,,2016,North Carolina State, None, None,75,,,
Nick McCloud,CB,Rock Hill,SC,6'1'',173,NC State,,58,,,2016,North Carolina State,434,19,75,,,
Dylan Autenrieth,TE,Dallas,GA,6'5'',215,NC State,,29,,,2016,North Carolina State,471,100,74,,,
J.J. Givens,S,Mechanicsville,VA,6'2'',170,NC State,,133,,,2016,North Carolina State,84,33,74,,,
Harrison Gee,OC,Burlington,NC,6'3'',276,NC State,,12,,,2016,North Carolina State,,,74,,,
Justin Chase,OT,Chesapeake,VA,6'6'',265,NC State,,85,,,2016,North Carolina State,,,73,,,
Brock Miller,OLB,Fort Pierce,FL,6'3'',210,NC State,,527,,,2016,North Carolina State,74,175,73,,,
Matthew Stevens,OLB,Charlotte,NC,6'0'',215,NC State,,,,,2016,North Carolina State,,,73,,,
Garrett Hooker,ILB,Thomasville,NC,6'2'',233,NC State,,45,,,2016,North Carolina State,572,,72,,,
C.J. Riley,WR,Coconut Creek,FL,6'4'',186,NC State,,174,,,2016,North Carolina State,,,72,,,
Joe Sculthorpe,OG,Hampstead,NC,6'2'',285,NC State,,72,,,2016,North Carolina State,603,54,72,,,
Bryce Banks,S,Columbia,MO,6'3'',188,NC State,,118,,,2016,North Carolina State,249,18,72,,,
David Pierson,ILB,Wendell,NC,6'2'',220,NC State,,,,,2016,North Carolina State,,,72,,,
Daeshawn Stephens,WR,Durham,NC,6'2'',205,NC State,,193,,,2016,North Carolina State,651,60,71,,,
Bryce Folsom,OG,Cusseta,GA,6'4'',266,NC State,,111,,,2016,North Carolina State,659,138,70,,,
