Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School
Cody White,WR,Walled Lake,MI,6'2'',190,Michigan State,,79, None, None,2017,Michigan State,79.0,,,
Connor Heyward,WR,Suwanee,GA,6'0'',219,Michigan State,,, None, None,2017,Michigan State,79.0,,,
Matt Carrick,OG,Massillon,OH,6'4'',275,Michigan State,,41,,,2017,Michigan State,78.0,,,
Jack Camper,ATH,Bradenton,FL,6'5'',240,Michigan State,,52,281,99,2017,Michigan State,78.0,,,
Donovan Winter,DE,Orlando,FL,6'4'',240,Michigan State,,61,293,104,2017,Michigan State,78.0,,,
Mustafa Khaleefah,OG,Dearborn,MI,6'5'',283,Michigan State,,60,88,16,2017,Michigan State,76.0,,,
Weston Bridges,RB,Copley,OH,6'0'',200,Michigan State,,67,91,33,2017,Michigan State,76.0,,,
Dominique Long,S,Westerville,OH,6'2'',189,Michigan State,,65,,,2017,Michigan State,76.0,,,
Josiah Scott,CB,Fairfield,OH,5'10'',170,Michigan State,,41,106,41,2017,Michigan State,75.0,,,
Tre Person,CB,Atlanta,GA,5'11'',165,Michigan State,,81,455,101,2017,Michigan State,75.0,,,
Darien Tipps-Clemons,OLB,Piqua,OH,6'0'',216,Michigan State,,83,130,48,2017,Michigan State,74.0,,,
DeAri Todd,DE,Lorain,OH,6'3'',230,Michigan State,,108,143,52,2017,Michigan State,73.0,,,
C.J. Hayes,WR,Bowling Green,KY,6'2'',200,Michigan State,,199,,,2017,Michigan State,72.0,,,
Shakur Brown,CB,Stockbridge,GA,5'11'',180,Michigan State,,126,657,143,2017,Michigan State,71.0,,,
Laress Nelson,WR,Plantation,FL,5'8'',164,Michigan State,,NR,,,2017,Michigan State,,,,
Emmanuel Flowers,S,Chino Hills,CA,6'1'',168,Michigan State,,,,,2017,Michigan State,,,,
Noah Harvey,OLB,Hartland,WI,6'2'',220,Michigan State,,,,,2017,Michigan State,,,,
Cassius Peat,DE,Tempe,AZ,6'3'',250,Michigan State,,, None, None,2017,Michigan State,,,,
Darius Snow,OLB,Carrollton,TX,6'0'',215,79,,39,,,2020,Michigan State,,92,71,Michigan State
Jordon Simmons,RB,Powder Springs,GA,5'11'',178,78,,39,,,2020,Michigan State,,,,Michigan State
Dallas Fincher,OC,Kentwood,MI,6'3'',270,78,,8,,,2020,Michigan State,,,,Michigan State
