Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School
Eugene Ford,WR,Los Angeles,CA,6'1'',175,,Hawai'i,,,,2017,Hawaii,,,,
Dru Brown,QB-DT,Los Gatos,CA,6'0'',200,,Hawai'i,NR,,,2017,Hawaii,,,,
Cole Brownholtz,QB-PP,Carmichael,CA,6'2'',200,,Hawai'i,,,,2017,Hawaii,,,,
Manu Rasmussen,S,Tigard,OR,6'0'',185,,Hawai'i,,,,2017,Hawaii,,,,
Marcus Armstrong-Brown,WR,Pleasant Hill,CA,6'1'',195,,Hawai'i,,,,2017,Hawaii,,,,
Emil Graves,OG,Los Alamitos,CA,6'3'',285,,Hawai'i,,,,2017,Hawaii,,,,
Jeremy Moussa,QB-PP,Corona,CA,6'3'',193,NR,,,,,2018,Hawaii,,,,Eleanor Roosevelt High School
Jonah Kahahawai-Welch,DE,Honolulu,HI,6'2'',223,NR,,,,,2018,Hawaii,,,,Kamehameha Schools
Chevan Cordeiro,QB-DT,Honolulu,HI,6'1'',175,NR,,,,,2018,Hawaii,,,,Saint Louis School
Solo Vaipulu,OG,Corona,CA,6'2'',300,NR,,,,,2018,Hawaii,,,,Centennial High School
Khoury Bethley,RB,Chino,CA,5'10'',197,NR,,,,,2018,Hawaii,,,,Don Antonio Lugo High School
Zach Ritner,DE,Mission Viejo,CA,6'3'',240,NR,,,,,2018,Hawaii,,,,Capistrano Valley High School
Michael Washington,WR,Monrovia,CA,6'0'',157,NR,,NR,,,2018,Hawaii,,,,Monrovia High School
Thomas Wade,OT,San Clemente,CA,6'7'',230,NR,,,,,2018,Hawaii,,,,San Clemente High School
Kai Kaneshiro,S,Honolulu,HI,6'2'',184,NR,,NR,NR,NR,2018,Hawaii,,,,Saint Louis School
Jonah Panoke,WR,Honolulu,HI,6'1'',185,NR,,NR,NR,NR,2018,Hawaii,,,,Saint Louis School
Jovan McConico,S,Seattle,WA,5'11'',185,NR,,,,,2018,Hawaii,,,,Garfield High School
Eric Rooks,WR (POST),Chicago,IL,6'2'',210,NR,,,,,2018,Hawaii,,,,Taft School
Jonah La'ulu,ATH,Las Vegas,NV,6'4'',240,NR,,,,,2018,Hawaii,,,,Centennial High School
Blessman Ta'ala,DT (LQ),Pago Pago,AS,6'1'',285,NR,,,,,2018,Hawaii,,,,Faga'itua High School
Kamuela Borden,ATH (LQ),Honolulu,HI,6'3'',235,NR,,,,,2018,Hawaii,,,,Iolani School
Ilm Manning,OG,Glendale,AZ,6'3'',250,NR,,NR,NR,NR,2018,Hawaii,,,,Apollo High School
Scott McLeod,WR,Kaneohe,HI,6'2'',225,NR,,,,,2018,Hawaii,,,,Saint Francis School
Derek Thomas,DE (JC),Norwalk,CA,6'3'',215,NR,,,,,2018,Hawaii,,,,Cerritos College
Cedric Byrd,WR (JC),Los Angeles,CA,5'9'',170,NR,,,,,2018,Hawaii,,,,Long Beach City College
Jeffrey Keene,DE (JC),Clinton,MD,6'3'',230,NR,,,,,2018,Hawaii,,,,Fort Scott Community College
Mason Mata'afa,DT (JC),Costa Mesa,CA,6'4'',235,NR,,,,,2018,Hawaii,,,,Orange Coast College
Manase Time,S (JC),Huntington Beach,CA,6'0'',200,NR,,,,,2018,Hawaii,,,,Golden West College
Kohl Levao,OG (JC),San Francisco,CA,6'4'',320,NR,,,,,2018,Hawaii,,,,City College of San Francisco
Gene Pryor,OG (JC),Visalia,CA,6'2'',310,NR,,,,,2018,Hawaii,,,,College of Sequoias
Justus Tavai,DT (JC),Torrance,CA,6'3'',285,NR,,,,,2018,Hawaii,,,,El Camino College
