Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Trevor Brent,CB,Mesquite,TX,5'10'',165,,,BYU,,,,2015,Brigham Young,,
Brady Christensen,OT,Bountiful,UT,6'5'',250,,,BYU,NR,NR,NR,2015,Brigham Young,,
Demetrius Davis,OT,Pleasant Grove,UT,6'4'',265,,,BYU,,,,2015,Brigham Young,,
Motekiai Taukolo Langi,DT,Provo,UT,6'7'',410,,,BYU,,,,2015,Brigham Young,,
Khari Vanderbilt,S (JC),San Jose,CA,6'1'',185,,,BYU,,,,2015,Brigham Young,,
Eric Takenaka,S (JC),Salt Lake City,UT,5'10'',205,,,BYU,,,,2015,Brigham Young,,
Squally Canada,RB (TR),Milpitas,CA,5'10'',192,,,BYU,,,,2015,Brigham Young,,
Kamel Greene,CB (TR),Mountain View,CA,5'11'',178,,,BYU,,,,2015,Brigham Young,,
Jackson Kaka,TE-H (TR),Kahuku,HI,6'4'',210,,,BYU,,,,2015,Brigham Young,,
Chaz Ah You,S,Provo,UT,6'2'',199,,81,BYU,2,,,2017,Brigham Young,40,2
Langi Tuifua,DE,South Jordan,UT,6'3'',210,,80,BYU,20,,,2017,Brigham Young,,
John Vaka,OT,Pleasant Hill,CA,6'5'',285,,79,BYU,8,,,2017,Brigham Young,,
Alden Tofa,DE,West Jordan,UT,6'5'',248,,79,BYU,49,,,2017,Brigham Young,84,5
Matt Bushman,TE-H,Tucson,AZ,6'5'',215,,77,BYU,,,,2017,Brigham Young, None, None
Bentley Hanshaw,TE-Y,Moorpark,CA,6'6'',210,,76,BYU,25,,,2017,Brigham Young,,
Teancum Fuga,DT,Huntington Beach,CA,6'1'',310,,76,BYU,,,,2017,Brigham Young,,
Jackson McChesney,RB,Highland,UT,6'0'',187,,75,BYU,13,,,2017,Brigham Young,,
Joe Tukuafu,TE-Y,Salt Lake City,UT,6'4'',235,,74,BYU,,,,2017,Brigham Young,,
Ryan Rehkow,K,Veradale,WA,6'3'',190,,74,BYU,39,,,2017,Brigham Young,,
Lorenzo Fauatea,DT,West Valley City,UT,6'4'',265,,73,BYU,,,,2017,Brigham Young,,
Tyler Batty,DE,Payson,UT,6'5'',220,,73,BYU,112,,,2017,Brigham Young,195,15
Ula Tolutau,FB,Salt Lake City,UT,6'1'',225,,71,BYU,,,,2017,Brigham Young, None, None
Garrett England,WR,Salt Lake City,UT,6'3'',180,,70,BYU,,,,2017,Brigham Young,,
Tongi Langi,S,South Jordan,UT,6'1'',175,,70,BYU,115,,,2017,Brigham Young,228,17
Earl Mariner,OG,Topeka,KS,6'3'',300,,69,BYU,,,,2017,Brigham Young,,
Ben Bywater,OLB,Salt Lake City,UT,6'3'',200,,69,BYU,119,,,2017,Brigham Young,236,18
Seleti Fevaleaki,DT,Corona,CA,6'2'',270,,,BYU,,,,2017,Brigham Young, None, None
Preston Lewis,OLB,Highland,UT,6'2'',217,,,BYU,,,,2017,Brigham Young,,
Joe Critchlow,QB-PP,Franklin,TN,6'4'',210,,,BYU,,,,2017,Brigham Young, None, None
Isaac Rex,TE-Y,San Clemente,CA,6'4'',233,,,BYU,,,,2017,Brigham Young, None, None
Ammon Hannemann,S,Highland,UT,6'1'',182,,,BYU,,,,2017,Brigham Young,,
Donovan Hanna,TE-H,Queen Creek,AZ,6'4'',225,,,BYU,,,,2017,Brigham Young,,
Tariq Buchanan,ATH,Elgin,TX,6'1'',175,,,BYU,,,,2017,Brigham Young,,
Seth Willis,OT,Sandy Hook,CT,6'5'',315,,,BYU,NR,,,2017,Brigham Young,,
Tanner Baker,DE,Acworth,GA,6'4'',230,,,BYU,,,,2017,Brigham Young,,
Keenan Ellis,WR,Chula Vista,CA,6'1'',170,,,BYU,,,,2017,Brigham Young, None, None
D'Angelo Gunter,CB,Crescent City,CA,6'1'',170,,,BYU,,,,2017,Brigham Young,,
A.J. Lolohea,DE,Salt Lake City,UT,6'2'',230,,,BYU,,,,2017,Brigham Young,,
Mason Fakahua,ATH,Cedar City,UT,6'2'',210,,,BYU,,,,2017,Brigham Young,,
Mango Finau,OT,Wailuku,HI,6'5'',350,,,BYU,,,,2017,Brigham Young, None, None
Khyiris Tonga,DT,West Valley City,UT,6'3'',300,,,BYU,,,,2017,Brigham Young,,
Austin Lee,S,Sandy,UT,5'11'',205,,,BYU,,,,2017,Brigham Young, None, None
Wayne Tei-Kirby,DT,Pocatello,ID,6'3'',315,,TR,BYU,,,,2017,Brigham Young,,
Jacob Conover,QB-PP,Chandler,AZ,6'1'',195,84.0,BYU,,109,,,2019,Brigham Young,19,3
Chuck Alatini,DE,Cypress,TX,6'2'',250,78.0,BYU,,94,,,2019,Brigham Young,80,4
Brock Gunderson,OT,Cypress,TX,6'4'',258,78.0,BYU,,131,,,2019,Brigham Young,93,70
Blake Freeland,TE-Y,Herriman,UT,6'8'',234,76.0,BYU,,28,,,2019,Brigham Young,156,6
Eric Ellison,ATH (JC),San Jacinto,CA,6'0'',170,75.0,BYU,,1,,,2019,Brigham Young,,
Chase Roberts,WR,American Fork,UT,6'4'',194,75.0,BYU,,150,,,2019,Brigham Young,,
Cade Albright,OLB,San Juan Capistrano,CA,6'4'',200,75.0,BYU,,109,,,2019,Brigham Young,,
Elijah Unutoa,OG,Kapaa,HI,6'3'',285,74.0,BYU,,81,,,2019,Brigham Young,,
Michael Daley,OLB,Highland,UT,6'2'',225,73.0,BYU,,127,,,2019,Brigham Young,227,12
Brooks Maile,DE,Saint George,UT,6'2'',245,73.0,BYU,,191,,,2019,Brigham Young,,
George Udo,OLB,Walnut Creek,CA,6'1'',205,73.0,BYU,,132,,,2019,Brigham Young,241,140
Caleb Christensen,ATH,Smithfield,UT,5'9'',180,72.0,BYU,,,,,2019,Brigham Young,,
Bruce Mitchell,DT,Kamas,UT,6'3'',265,72.0,BYU,,111,,,2019,Brigham Young,257,19
