Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School
Michael Munoz,LS,Upland,CA,6'3'',220,65.0,Fresno State,,,,2020,Fresno State,,,,
Mose Vavao,OG,Mountain View,CA,6'2'',305,,Fresno State,,,,2020,Fresno State,,,,
Jake Haener,QB-PP,TRDanville,CA  University of Washington,6'1'',195,,Fresno State,,,,2020,Fresno State,,,,
Jordan Hornbeak,RB,Fresno,CA,6'0'',190,,,48,,,2021,Fresno State,77.0,102,58,
Jalen Williams,CB,Lancaster,CA,5'11'',190,,,76.0,,,2021,Fresno State,76.0, 67, 120,
Jaylen Henderson,QB-PP,West Hills,CA,6'3'',195,,,55,,,2021,Fresno State,75.0,155,93,
Cale Sanders,ATH,New Caney,TX,5'10'',170,,,,,,2021,Fresno State,75.0,,,
Rolan Fullwood,OG,Lawndale,CA,6'5'',305,,,76,,,2021,Fresno State,74.0,168,101,
Johnathan Arceneaux,RB,Lawndale,CA,6'0'',185,,,105,,,2021,Fresno State,74.0,169,102,
Ja'Quez Harvey,DE,Los Angeles,CA,6'4'',245,,,110,,,2021,Fresno State,74.0,176,106,
Emari Pait,ATH,Culver City,CA,6'2'',200,,,306,,,2021,Fresno State,74.0,,,
Braylen Nelson,OG,Aurora,CO,6'5'',310,,,94,,,2021,Fresno State,74.0,,,
Julius Lewis,DT,Modesto,CA,6'5'',280,,,140,,,2021,Fresno State,74.0,,,
Alzillion Hamilton,CB,Hayward,CA,5'11'',175,,,127,,,2021,Fresno State,73.0,218,130,
Julian Neal,ATH,San Francisco,CA,6'4'',190,,,173,,,2021,Fresno State,73.0,344,261,
Tito Chikere,DE,Sugar Land,TX,6'3'',245,,,130,,,2021,Fresno State,73.0,253,13,
Malik Brooks,RB,Las Vegas,NV,6'2'',205,,,36,,,2021,Fresno State,72.0,260,3,
Tre Watson,TE,Rio Rancho,NM,6'5'',205,,,150,,,2021,Fresno State,72.0,279,14,
Charlotin Charles,S,Las Vegas,NV,6'0'',190,,,175,,,2021,Fresno State,71.0,,,
Zeke Branham,ATH,Mesa,AZ,6'2'',215,,,181,,,2021,Fresno State,71.0,305,27,
Frankco Gratton,OLB,Seattle,WA,6'5'',205,,,,,,2021,Fresno State,70.0, None, None,
Isaac Garcia,DE,Bellevue,WA,6'4'',245,Fresno State,,,,,2021,Fresno State,,,,
Daron Bland,S,Modesto,CA,6'0'',200,Fresno State,,,,,2021,Fresno State,,,,
Tyson Maeva,ILB,San Diego,CA,6'0'',225,Fresno State,,,,,2021,Fresno State,, None, None,
Ty Jones,WR,Provo,UT,6'4'',215,Fresno State,,,,,2021,Fresno State,, None, None,
Jordan Wilmore,RB,Lawndale,CA,5'8'',200,Fresno State,,,,,2021,Fresno State,,,,
"Brandon Ramirez,SF,Fresno,CA,5'11'',200, ,78,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Ah'Marion Ashley,CB,Stockton,CA,5'11'',176, ,76,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Richie Anderson,OLB,Tualatin,OR,6'3'',205, ,76,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Tim Grear,WR,Ventura,CA,6'1'',180, ,76,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Charles Greer,RB,Concord,CA,5'11'',190, ,76,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Justin Johnson,S,Inglewood,CA,6'1'',200, ,76,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Artis Cole,WR,Benton,LA,5'11'',195, ,75,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Mordecai Hines,DT,Palmdale,CA,6'5'',275, ,75,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Jayden Mandal,QB-PP,Clovis,CA,6'0'',200, ,75,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Jake Tarwater,TE-Y,South Lake Tahoe,CA,6'4'',215, ,74,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Edward Fonua,OG,Cerritos,CA,6'3'',305, ,74,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Brock Lium,TE-H,Redlands,CA,6'4'',215, ,74,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Isiah Chala,DE,San Francisco,CA,6'4'',230, ,74,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"R.L. Miller,OLB,San Francisco,CA,6'2'',190, ,74,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Caleb Barajas,OT,Ventura,CA,6'4'',275, ,73,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Devon Rivers,RB,Brentwood,CA,5'7'',175, ,73,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Antoine Sullivan,WR,San Diego,CA,6'2'',175, ,72,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Hayden Pulis,OT,Fresno,CA,6'6'',280, , ,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Dupre Mendoza,DT,El Monte,CA,6'4'',330, , ,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Ezra Christensen,DE,Poway,CA,6'2'',260, , ,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
"Mikey Keene,QB-DT,Chandler,AZ,5'11'',180, , ,Fresno State",,,,,,,,,,,2023,Fresno State,,,,
